frame,L_pixels,strain,radius_norm,pressure_Pa,stress_Pa,force_N
0,165.73775,0.0,1.0,500.0,833333.3,1570.7964
1,166.29712,0.0033750425,1.003375,501.68753,838967.94,1586.7548
2,166.21017,0.0028504513,1.0028504,501.4252,838090.75,1584.267
3,164.98714,-0.004528904,0.9954711,497.73557,825802.25,1549.5511
4,163.67741,-0.012431285,0.98756874,493.78436,812743.3,1512.9407
5,161.3341,-0.026569933,0.9734301,486.71506,789638.44,1448.886
6,158.8559,-0.041522533,0.95847744,479.2387,765565.75,1383.1382
7,157.6677,-0.0486917,0.9513083,475.65414,754156.2,1352.3334
8,156.85435,-0.05359909,0.9464009,473.20044,746395.5,1331.5127
9,156.6901,-0.054590177,0.94540983,472.70493,744833.06,1327.3341
10,156.58875,-0.05520168,0.9447983,472.39914,743869.8,1324.7599
11,155.38577,-0.062459968,0.93754005,468.77002,732484.4,1294.4622
12,154.00917,-0.070765875,0.92923415,464.61707,719563.4,1260.3622
13,152.90799,-0.07740999,0.92259,461.295,709310.25,1233.5198
14,151.18263,-0.08782016,0.9121798,456.0899,693393.3,1192.2334
15,150.40154,-0.09253301,0.907467,453.7335,686246.94,1173.8494
16,149.67534,-0.096914604,0.9030854,451.5427,679636.0,1156.9281
17,149.73454,-0.09655739,0.9034426,451.7213,680173.75,1158.3014
18,149.81465,-0.096074045,0.90392596,451.96298,680901.75,1160.1615
19,149.78682,-0.09624197,0.90375805,451.87903,680648.8,1159.5151
20,149.61763,-0.0972628,0.9027372,451.3686,679112.0,1155.5902
21,149.1061,-0.10034922,0.8996508,449.8254,674476.3,1143.7782
22,148.66127,-0.10303312,0.8969669,448.48343,670457.94,1133.5719
23,148.83298,-0.1019971,0.8980029,449.00146,672007.7,1137.5045
24,148.03104,-0.106835715,0.8931643,446.58215,664785.3,1119.2161
25,147.94469,-0.10735672,0.8926433,446.32162,664010.0,1117.2585
26,147.60597,-0.10940039,0.8905996,445.2998,660973.0,1109.6024
27,147.39087,-0.110698245,0.8893018,444.65088,659048.0,1104.7585
28,147.3004,-0.111244105,0.8887559,444.37796,658239.2,1102.7255
29,146.85437,-0.113935284,0.8860647,443.03235,654258.9,1092.7384
30,147.01512,-0.11296537,0.88703465,443.51733,655692.06,1096.3309
31,146.99332,-0.11309693,0.88690305,443.45154,655497.5,1095.843
32,147.17558,-0.1119972,0.8880028,444.0014,657124.1,1099.9246
33,147.2126,-0.111773856,0.88822615,444.11307,657454.7,1100.7546
34,147.27454,-0.11140016,0.8885999,444.29993,658008.06,1102.1448
35,147.23747,-0.11162379,0.88837624,444.1881,657676.94,1101.3127
36,147.38556,-0.11073028,0.8892697,444.63486,659000.44,1104.6392
37,147.51688,-0.109937966,0.89006203,445.031,660175.3,1107.5942
38,147.4143,-0.11055683,0.88944316,444.7216,659257.56,1105.2856
39,148.05687,-0.10667985,0.89332014,446.66006,665017.4,1119.8021
40,148.57397,-0.10355983,0.89644015,448.22006,669670.75,1131.5762
