frame,point_id,x,y,u,v,displacement
0,0,49.0,368.0,0.0,0.0,0.0
0,1,212.0,338.0,0.0,0.0,0.0
0,2,341.0,339.0,0.0,0.0,0.0
0,3,222.0,538.0,0.0,0.0,0.0
1,0,52.41925,362.97565,3.4192505,-5.024353,6.07745
1,1,216.04276,333.2758,4.042755,-4.7242126,6.217882
1,2,343.90295,333.1547,2.902954,-5.8453064,6.5264654
1,3,225.95274,532.0344,3.9527435,-5.965576,7.1562757
2,0,55.775024,361.61523,6.7750244,-6.3847656,9.309467
2,1,219.41309,332.4878,7.413086,-5.512207,9.237871
2,2,346.63168,331.80978,5.6316833,-7.190216,9.133184
2,3,228.74986,530.5855,6.7498627,-7.4144897,10.02673
3,0,60.845615,363.8476,11.845615,-4.152405,12.552333
3,1,223.3769,335.48682,11.376907,-2.5131836,11.651185
3,2,348.66867,333.42566,7.6686707,-5.574341,9.4806
3,3,232.89656,531.68097,10.896561,-6.319031,12.596236
4,0,65.3506,368.71216,16.350601,0.7121582,16.366104
4,1,226.43759,339.70737,14.437592,1.707367,14.538197
4,2,349.71503,336.8282,8.715027,-2.171814,8.981563
4,3,236.27055,534.64465,14.270554,-3.3553467,14.659708
5,0,67.7125,373.0419,18.712502,5.0419006,19.379848
5,1,226.38638,343.86502,14.386383,5.8650208,15.535974
5,2,348.70502,340.8606,7.705017,1.8605957,7.9264812
5,3,236.60857,536.5874,14.608566,-1.4125977,14.676704
6,0,70.35092,375.40546,21.350922,7.4054565,22.59873
6,1,226.42647,345.81464,14.426468,7.814636,16.407057
6,2,347.70575,342.99933,6.7057495,3.9993286,7.8077974
6,3,237.05446,536.1262,15.054459,-1.8737793,15.170622
7,0,73.14278,376.63138,24.142776,8.631378,25.639313
7,1,227.9353,346.65848,15.935303,8.658478,18.135687
7,2,347.1405,343.81097,6.140503,4.810974,7.800721
7,3,238.41676,534.6456,16.416763,-3.35437,16.755953
8,0,74.371735,378.6111,25.371735,10.6111145,27.501286
8,1,228.23006,348.10034,16.230057,10.100342,19.116266
8,2,345.86713,345.6048,4.8671265,6.6047974,8.204406
8,3,238.37082,535.4014,16.37082,-2.5985718,16.575773
9,0,78.022934,383.1257,29.022934,15.125702,32.727932
9,1,231.45206,351.3249,19.452057,13.32489,23.578278
9,2,348.7067,350.17224,7.7066956,11.172241,13.572476
9,3,241.53717,539.8481,19.53717,1.8480835,19.624384
10,0,84.23774,387.01825,35.23774,19.01825,40.042377
10,1,237.59929,355.3911,25.599289,17.391113,30.947931
10,2,353.90326,355.29144,12.903259,16.291443,20.78233
10,3,247.72571,544.6875,25.725708,6.6875,26.58072
11,0,92.59335,389.74786,43.593353,21.747864,48.71704
11,1,244.95212,359.22668,32.952118,21.226685,39.19712
11,2,360.90646,359.24332,19.906464,20.243317,28.391182
11,3,255.19916,547.3468,33.199158,9.346802,34.489807
12,0,101.46746,389.7075,52.46746,21.707489,56.780716
12,1,252.66621,360.41995,40.666214,22.419952,46.437004
12,2,367.67142,360.0675,26.671417,21.067505,33.988297
12,3,263.30536,546.1061,41.30536,8.106079,42.093243
13,0,106.638916,387.84216,57.638916,19.842163,60.95864
13,1,256.70798,358.51413,44.707977,20.51413,49.189762
13,2,370.39685,358.39243,29.39685,19.392426,35.217056
13,3,266.9757,541.86725,44.975708,3.8672485,45.141666
14,0,109.15778,386.3361,60.157784,18.33609,62.890152
14,1,257.3809,356.5687,45.38089,18.568695,49.03286
14,2,370.33066,356.47992,29.330658,17.47992,34.14433
14,3,267.53552,537.79767,45.535522,-0.20233154,45.535973
15,0,110.290085,386.43347,61.290085,18.433472,64.00209
15,1,257.56335,355.9178,45.563354,17.917786,48.959846
15,2,369.90714,356.305,28.907135,17.304993,33.691025
15,3,268.01587,535.65497,46.01587,-2.3450317,46.075584
16,0,109.97409,386.8339,60.97409,18.833893,63.816574
16,1,256.4571,356.08594,44.457092,18.085938,47.995148
16,2,368.6296,355.72302,27.629608,16.723022,32.296356
16,3,267.45087,535.507,45.450867,-2.492981,45.519184
17,0,107.86748,387.80533,58.867477,19.805328,62.10983
17,1,254.38669,356.94183,42.38669,18.941833,46.426548
17,2,366.9513,356.62027,25.951294,17.62027,31.367876
17,3,265.36072,536.5539,43.360718,-1.446106,43.384827
18,0,107.32309,388.95212,58.32309,20.952118,61.972366
18,1,253.98265,358.3678,41.98265,20.367798,46.662514
18,2,366.5945,357.58356,25.594513,18.583557,31.62954
18,3,264.82568,537.85535,42.825684,-0.14465332,42.825928
19,0,107.928894,389.65262,58.928894,21.652618,62.78097
19,1,254.57712,359.15036,42.577118,21.15036,47.54102
19,2,366.59543,357.5895,25.595428,18.589508,31.633776
19,3,265.79355,538.5768,43.79355,0.5767822,43.797344
20,0,107.536415,388.81274,58.536415,20.812744,62.126343
20,1,254.15172,358.9901,42.15172,20.990112,47.088768
20,2,365.68314,357.56943,24.683136,18.569427,30.888199
20,3,264.9816,537.6385,42.981598,-0.36151123,42.98312
21,0,107.35059,386.5388,58.350594,18.538788,61.22482
21,1,253.4708,356.8485,41.470795,18.84851,45.553192
21,2,364.55228,355.4786,23.552277,16.478607,28.744638
21,3,264.09976,534.47797,42.099762,-3.5220337,42.24683
22,0,106.7633,384.09995,57.763298,16.099945,59.965046
22,1,252.45528,354.53613,40.455276,16.536133,43.704384
22,2,363.1723,353.13867,22.172302,14.138672,26.296637
22,3,262.9881,531.2549,40.9881,-6.745117,41.539387
23,0,103.86815,383.53925,54.86815,15.539246,57.02615
23,1,249.78279,354.2105,37.78279,16.21051,41.113503
23,2,359.65057,351.63956,18.650574,12.639557,22.530031
23,3,259.94403,530.35175,37.94403,-7.6482544,38.707176
24,0,101.57989,384.35294,52.579887,16.352936,55.06417
24,1,246.66702,354.9776,34.667023,16.9776,38.601055
24,2,356.9901,352.18103,15.990112,13.18103,20.72253
24,3,256.67456,531.004,34.67456,-6.9959717,35.37328
25,0,100.85218,385.5513,51.85218,17.5513,54.742092
25,1,245.76025,355.73056,33.760254,17.73056,38.133026
25,2,356.5966,353.20865,15.596588,14.208649,21.098324
25,3,256.32574,531.4326,34.325745,-6.567383,34.94835
26,0,98.96328,386.23035,49.96328,18.230347,53.185287
26,1,243.54881,356.52274,31.548813,18.522736,36.58441
26,2,354.8407,353.5286,13.840698,14.528595,20.066017
26,3,254.35187,532.1863,32.351868,-5.8137207,32.870087
27,0,97.54298,386.65936,48.542976,18.659363,52.005695
27,1,241.87967,356.81,29.87967,18.809998,35.307373
27,2,352.883,353.54898,11.882996,14.548981,18.785059
27,3,252.5512,532.40045,30.551193,-5.5995483,31.060108
28,0,97.00946,385.96878,48.00946,17.96878,51.26193
28,1,241.31459,356.41483,29.31459,18.414825,34.618652
28,2,351.7787,353.03522,10.778687,14.035217,17.696537
28,3,251.66301,531.7971,29.66301,-6.202881,30.304619
29,0,96.729576,384.8688,47.729576,16.868805,50.622814
29,1,240.57353,355.28638,28.573532,17.286377,33.39559
29,2,351.42715,352.33176,10.427155,13.331757,16.925167
29,3,250.96214,530.57245,28.962143,-7.4275513,29.899403
30,0,94.987076,384.48648,45.987076,16.48648,48.852993
30,1,238.91904,354.5359,26.919037,16.535889,31.592247
30,2,349.5973,351.3308,8.59729,12.330811,15.032042
30,3,249.37161,529.9411,27.371613,-8.058899,28.533333
31,0,93.264336,384.43918,44.264336,16.439178,47.21841
31,1,237.17471,354.49188,25.174713,16.491882,30.095654
31,2,348.58228,351.1363,7.5822754,12.1362915,14.310153
31,3,247.63965,529.9676,25.639648,-8.03241,26.868404
32,0,92.39909,384.66156,43.399094,16.66156,46.487514
32,1,236.46446,354.56464,24.464462,16.564636,29.544832
32,2,347.73734,351.0468,6.737335,12.046814,13.802805
32,3,246.94556,529.96356,24.945557,-8.036438,26.208113
33,0,90.71729,385.253,41.717293,17.25299,45.14419
33,1,234.76031,354.8695,22.760315,16.869507,28.33041
33,2,346.6217,351.0815,5.621704,12.081512,13.325408
33,3,245.59578,530.4732,23.59578,-7.5267944,24.767185
34,0,88.024124,385.42487,39.024124,17.424866,42.737667
34,1,232.1072,354.93127,20.107193,16.931274,26.286257
34,2,344.48502,351.41763,3.4850159,12.417633,12.897401
34,3,242.87076,531.1777,20.870758,-6.8223267,21.95752
35,0,87.01728,386.1714,38.01728,18.171387,42.136837
35,1,231.02336,355.49362,19.023361,17.493622,25.844051
35,2,343.36694,351.82858,2.3669434,12.828583,13.045113
35,3,241.92896,531.921,19.928955,-6.0789795,20.83548
36,0,86.869095,386.82733,37.869095,18.827332,42.291096
36,1,230.95541,355.8171,18.955414,17.817108,26.014555
36,2,343.3051,352.3018,2.3051147,13.301788,13.500042
36,3,241.90965,532.3695,19.909653,-5.630493,20.690498
37,0,86.85936,386.724,37.85936,18.723999,42.23647
37,1,231.0537,355.59167,19.053696,17.591675,25.932804
37,2,342.89423,351.45868,1.8942261,12.458679,12.601856
37,3,241.914,532.36523,19.914001,-5.6347656,20.695845
38,0,89.023315,385.794,40.023315,17.794006,43.8006
38,1,233.14174,354.79626,21.141739,16.796265,27.001623
38,2,344.9517,350.85773,3.9516907,11.857727,12.498862
38,3,244.09857,531.6028,22.098572,-6.397217,23.005896
39,0,91.34057,383.9433,42.34057,15.943298,45.242817
39,1,236.07854,352.77032,24.078537,14.770325,28.247805
39,2,347.81256,349.12576,6.812561,10.125763,12.204183
39,3,246.86108,529.97656,24.861084,-8.0234375,26.123726
40,0,92.432,382.30484,43.432,14.30484,45.727093
40,1,237.715,351.20694,25.714996,13.20694,28.908205
40,2,349.42557,347.67148,8.425568,8.671478,12.090688
40,3,247.97,528.6816,25.970001,-9.31842,27.591192
41,0,93.74813,381.24527,44.74813,13.24527,46.66725
41,1,239.1639,350.13882,27.163895,12.138824,29.752787
41,2,351.16626,346.51297,10.16626,7.51297,12.641106
41,3,249.13248,527.9299,27.132477,-10.070129,28.940954
42,0,96.174416,380.879,47.174416,12.878998,48.90086
42,1,241.13786,349.2443,29.137863,11.244293,31.232182
42,2,353.18732,346.60214,12.187317,7.6021423,14.363957
42,3,251.12216,527.2212,29.122162,-10.778809,31.052908
43,0,97.61293,381.06345,48.61293,13.063446,50.337566
43,1,242.62025,349.21814,30.620255,11.21814,32.61053
43,2,354.05087,346.20392,13.050873,7.2039185,14.907104
43,3,252.62373,526.7511,30.623734,-11.248901,32.62439
44,0,100.0618,381.06674,51.0618,13.066742,52.70718
44,1,244.82454,348.9274,32.82454,10.927399,34.595642
44,2,355.97128,346.1384,14.971283,7.138397,16.58602
44,3,254.84683,526.7066,32.846832,-11.293396,34.734062
45,0,101.92679,381.01575,52.92679,13.015747,54.50371
45,1,246.8275,348.9013,34.8275,10.901306,36.493744
45,2,357.36923,345.59686,16.369232,6.596863,17.648521
45,3,257.2763,526.3264,35.276306,-11.673584,37.157642
46,0,101.245575,380.437,52.245575,12.437012,53.705486
46,1,246.70782,348.1012,34.707825,10.101196,36.147854
46,2,357.70615,345.13928,16.706146,6.139282,17.798487
46,3,256.71732,525.9689,34.717316,-12.031128,36.74289
47,0,101.25955,379.4201,52.259552,11.420105,53.492798
47,1,246.67627,347.06732,34.67627,9.067322,35.842155
47,2,358.38556,344.24448,17.38556,5.2444763,18.159355
47,3,256.5902,525.32623,34.59021,-12.673767,36.838936
48,0,102.00582,378.38556,53.00582,10.385559,54.013676
48,1,247.49106,346.00797,35.49106,8.007965,36.383274
48,2,359.4566,343.1922,18.456604,4.1921997,18.926722
48,3,257.55847,524.43494,35.55847,-13.565063,38.05806
49,0,101.423645,378.21902,52.423645,10.219025,53.410362
49,1,246.96037,345.5192,34.960373,7.5191956,35.75984
49,2,358.8792,342.94138,17.879211,3.9413757,18.308485
49,3,257.1137,523.9972,35.11371,-14.002808,37.80279
50,0,100.46341,378.1282,51.46341,10.128204,52.450577
50,1,245.88855,345.29614,33.88855,7.2961426,34.665077
50,2,357.94043,342.29904,16.94043,3.2990417,17.258673
50,3,256.00598,523.94244,34.00598,-14.057556,36.79703
51,0,100.16806,378.537,51.16806,10.536987,52.24173
51,1,245.3465,345.78,33.346497,7.779999,34.24204
51,2,357.0886,342.34024,16.088593,3.3402405,16.431677
51,3,255.65488,524.11646,33.654877,-13.883545,36.406094
52,0,99.523674,379.68942,50.523674,11.689423,51.858307
52,1,244.23866,346.69452,32.238663,8.694519,33.390507
52,2,355.7277,343.13956,14.727692,4.139557,15.298393
52,3,254.78758,524.8058,32.787582,-13.194214,35.34279
53,0,100.057,381.0752,51.057,13.075195,52.704628
53,1,244.31158,347.6425,32.311584,9.642487,33.71967
53,2,355.69565,343.89124,14.695648,4.8912354,15.488262
53,3,254.89577,525.47687,32.895767,-12.523132,35.198868
54,0,100.27379,382.5703,51.27379,14.5703125,53.303802
54,1,244.25653,348.004,32.25653,10.003998,33.772232
54,2,355.73737,344.8014,14.737366,5.8013916,15.838121
54,3,255.11479,526.35144,33.11479,-11.64856,35.103825
55,0,98.13706,383.62314,49.137062,15.623138,51.560966
55,1,242.07236,348.93817,30.072357,10.938171,31.999847
55,2,353.94437,345.71872,12.944366,6.7187195,14.584163
55,3,253.15555,527.6045,31.155548,-10.395508,32.844097
56,0,96.69817,385.35074,47.698174,17.350739,50.755924
56,1,240.94843,350.13327,28.948425,12.13327,31.388336
56,2,352.72336,346.87494,11.723358,7.874939,14.122741
56,3,251.8829,529.7036,29.882904,-8.296387,31.013191
57,0,96.00353,386.51596,47.003532,18.51596,50.519035
57,1,240.71712,351.26782,28.717117,13.267822,31.633968
57,2,352.6466,347.78705,11.646606,8.787048,14.589574
57,3,251.59273,531.47314,29.592728,-6.5268555,30.303951
58,0,93.142334,387.46866,44.142334,19.468658,48.24494
58,1,238.48318,351.84613,26.483185,13.84613,29.88435
58,2,351.16833,348.30673,10.168335,9.306732,13.784422
58,3,248.94017,533.0116,26.94017,-4.9884033,27.398119
59,0,91.43493,388.2904,42.43493,20.290405,47.036407
59,1,236.63225,352.47015,24.632248,14.470154,28.56804
59,2,349.9933,348.997,8.993286,9.997009,13.44691
59,3,247.11742,534.5161,25.117416,-3.4838867,25.35788
60,0,92.806915,389.31168,43.806915,21.311676,48.715843
60,1,238.2305,352.46072,26.2305,14.460724,29.95249
60,2,351.65793,349.12848,10.657928,10.128479,14.702976
60,3,248.92847,535.0423,26.928467,-2.9577026,27.09041
61,0,93.45699,390.28003,44.456993,22.28003,49.727497
61,1,238.79732,352.65842,26.797318,14.658417,30.544483
61,2,352.75897,348.63568,11.758972,9.635681,15.202624
61,3,250.37154,535.5318,28.371536,-2.4682007,28.478697
62,0,93.6341,391.36102,44.6341,23.361023,50.377975
62,1,238.7607,352.98285,26.760696,14.982849,30.66954
62,2,352.74115,348.63626,11.74115,9.636261,15.189211
62,3,250.55772,536.1538,28.557724,-1.8461914,28.617338
63,0,94.51405,391.99173,45.514053,23.99173,51.450287
63,1,238.70882,353.45844,26.708817,15.458435,30.859749
63,2,352.74313,348.8164,11.743134,9.816406,15.305653
63,3,251.25975,536.2045,29.25975,-1.7954712,29.314787
64,0,94.752335,392.64996,45.752335,24.649963,51.970154
64,1,238.82117,353.5875,26.821167,15.587494,31.021685
64,2,352.8594,349.30286,11.8594055,10.302856,15.709689
64,3,251.43605,536.5555,29.43605,-1.444519,29.471472
65,0,94.05024,393.39124,45.05024,25.391235,51.713043
65,1,238.24481,354.41925,26.244812,16.41925,30.957745
65,2,351.8019,350.03284,10.80191,11.032837,15.440361
65,3,250.3753,537.1425,28.375305,-0.8574829,28.38826
66,0,93.22273,393.8619,44.222733,25.861908,51.22976
66,1,237.18282,354.8007,25.182816,16.80069,30.272717
66,2,351.2555,350.8634,10.255493,11.863403,15.681692
66,3,249.05128,537.68024,27.051285,-0.31976318,27.053175
67,0,92.60506,394.01614,43.605057,26.016144,50.77638
67,1,236.71513,355.11603,24.715134,17.116028,30.063204
67,2,351.1365,351.41058,10.136505,12.4105835,16.024084
67,3,248.40753,538.092,26.407532,0.09197998,26.407692
68,0,92.50393,394.27643,43.50393,26.276428,50.823643
68,1,236.78818,355.11536,24.788177,17.115356,30.1229
68,2,350.6587,350.9668,9.658691,11.966797,15.378379
