frame,L_pixels,strain,radius_norm,pressure_Pa,stress_Pa,force_N
0,32.202484,0.0,1.0,500.0,833333.3,1570.7964
1,32.530537,0.010187181,1.0101871,505.09357,850398.4,1619.293
2,32.84379,0.019914737,1.0199147,509.95737,866855.0,1666.5237
3,33.10215,0.027937777,1.0279378,513.9689,880546.6,1706.1622
4,33.64159,0.044689287,1.0446893,522.34467,909479.75,1790.9413
5,34.26072,0.06391542,1.0639154,531.9577,943263.2,1891.6516
6,34.64738,0.07592261,1.0759226,537.9613,964674.56,1956.424
7,35.315998,0.09668552,1.0966855,548.3428,1.0022659e+06,2071.8877
8,36.0572,0.11970248,1.1197025,559.85126,1.044778e+06,2205.0977
9,36.76184,0.14158401,1.141584,570.792,1.0860118e+06,2336.9182
10,37.3762,0.16066206,1.160662,580.33105,1.1226136e+06,2456.0503
11,38.395447,0.1923132,1.1923132,596.1566,1.1846756e+06,2662.5083
12,39.498596,0.22656985,1.2265699,613.285,1.2537281e+06,2898.657
13,40.501926,0.25772676,1.2577268,628.8634,1.3182305e+06,3125.2073
14,41.744476,0.2963123,1.2963123,648.1562,1.4003548e+06,3421.7546
15,42.897125,0.33210608,1.3321061,666.05304,1.4787554e+06,3713.0972
16,43.964317,0.36524615,1.3652462,682.6231,1.5532476e+06,3997.1714
17,45.111996,0.40088558,1.4008856,700.4428,1.6354004e+06,4318.45
18,46.242878,0.43600345,1.4360034,718.0017,1.7184215e+06,4651.428
19,47.33378,0.46987972,1.4698797,734.9399,1.8004552e+06,4988.447
20,48.214348,0.49722448,1.4972245,748.61224,1.8680675e+06,5272.0635
21,49.35957,0.5327876,1.5327877,766.39386,1.9578651e+06,5656.736
22,50.332485,0.5630001,1.5630001,781.50006,2.0358076e+06,5997.8687
23,51.383102,0.5956254,1.5956254,797.8127,2.1216835e+06,6381.3525
24,52.36028,0.6259702,1.6259702,812.9851,2.2031492e+06,6752.3926
25,53.550343,0.66292584,1.6629258,831.4629,2.304435e+06,7223.3477
26,54.63025,0.6964607,1.6964607,848.23035,2.3983158e+06,7669.2217
27,55.92791,0.73675764,1.7367576,868.37885,2.5136058e+06,8228.82
28,57.085907,0.7727175,1.7727175,886.35876,2.6187728e+06,8750.613
29,58.2506,0.8088853,1.8088852,904.4426,2.7267212e+06,9297.216
30,59.378258,0.843903,1.8439031,921.95154,2.8333152e+06,9847.685
31,60.422337,0.8763253,1.8763254,938.16266,2.9338305e+06,10376.344
32,61.500786,0.90981495,1.909815,954.9075,3.039494e+06,10941.926
33,62.628403,0.94483143,1.9448314,972.4157,3.1519742e+06,11554.889
34,63.729744,0.9790319,1.9790319,989.5159,3.2638058e+06,12175.261
35,64.86031,1.01414,2.0141401,1007.07007,3.3806335e+06,12834.794
36,65.916885,1.0469503,2.0469503,1023.47516,3.4916715e+06,13472.302
37,67.11695,1.0842166,2.0842166,1042.1083,3.6199652e+06,14221.6
38,68.3187,1.1215352,2.121535,1060.7676,3.750759e+06,14999.285
39,69.33188,1.1529979,2.1529977,1076.4989,3.8628328e+06,15676.555
40,70.34553,1.1844752,2.1844752,1092.2375,3.9766095e+06,16374.241
41,71.38,1.2165991,2.216599,1108.2994,4.0944258e+06,17107.291
42,72.29234,1.2449306,2.2449307,1122.4653,4.1997615e+06,17771.688
43,73.21155,1.2734752,2.2734752,1136.7375,4.3072405e+06,18458.25
44,74.04584,1.2993828,2.2993827,1149.6913,4.405967e+06,19096.494
45,74.857704,1.3245941,2.324594,1162.297,4.503114e+06,19731.553
46,75.79641,1.3537441,2.3537443,1176.8722,4.61676e+06,20483.197
47,76.596695,1.3785958,2.3785958,1189.298,4.714765e+06,21138.875
48,77.473564,1.4058257,2.4058256,1202.9128,4.8233305e+06,21873.2
49,78.263374,1.4303521,2.430352,1215.176,4.9221755e+06,22549.006
50,78.97567,1.4524714,2.4524713,1226.2356,5.012179e+06,23170.299
51,79.80046,1.478084,2.478084,1239.042,5.1174165e+06,23903.857
52,80.48089,1.4992137,2.4992137,1249.6068,5.205057e+06,24520.541
53,81.03482,1.5164152,2.516415,1258.2075,5.2769535e+06,25030.34
54,81.73293,1.538094,2.538094,1269.047,5.3682675e+06,25682.838
55,82.392006,1.5585606,2.5585606,1279.2803,5.4551935e+06,26309.16
56,83.033775,1.5784898,2.5784898,1289.2449,5.5405075e+06,26928.746
57,83.73648,1.6003112,2.6003113,1300.1556,5.634682e+06,27618.234
58,84.41884,1.6215008,2.6215007,1310.7504,5.726888e+06,28298.918
59,85.123314,1.6433773,2.6433773,1321.6886,5.822869e+06,29013.314
60,85.63377,1.6592288,2.6592288,1329.6144,5.8929145e+06,29538.402
61,86.35395,1.6815928,2.681593,1340.7965,5.9924505e+06,30289.945
62,86.98454,1.701175,2.701175,1350.5875,6.0802885e+06,30958.37
63,87.564835,1.719195,2.7191951,1359.5975,6.1616845e+06,31582.1
64,88.32293,1.7427366,2.7427366,1371.3683,6.2688365e+06,32409.49
65,88.92821,1.7615325,2.7615325,1380.7662,6.3550515e+06,33080.37
66,89.634476,1.7834647,2.7834647,1391.7323,6.456396e+06,33874.82
67,90.130486,1.7988675,2.7988675,1399.4337,6.528049e+06,34440.297
68,90.66074,1.8153338,2.8153338,1407.6669,6.605087e+06,35051.74
69,91.33346,1.836224,2.836224,1418.112,6.703472e+06,35837.812
70,91.78757,1.8503257,2.8503256,1425.1628,6.7702965e+06,36375.027
71,92.34202,1.8675433,2.8675432,1433.7716,6.852336e+06,37038.195
72,92.78935,1.8814346,2.8814347,1440.7173,6.918887e+06,37579.086
73,93.288124,1.8969232,2.8969233,1448.4617,6.9934705e+06,38188.348
74,93.67233,1.9088542,2.9088542,1454.4271,7.0511935e+06,38662.133
75,94.29377,1.9281521,2.928152,1464.076,7.1450615e+06,39436.72
76,94.75916,1.9426042,2.942604,1471.302,7.2157655e+06,40023.523
77,95.345314,1.9608061,2.9608061,1480.4031,7.3053105e+06,40770.855
78,95.64013,1.9699612,2.9699612,1484.9806,7.350557e+06,41150.223
79,95.9994,1.9811177,2.9811177,1490.5588,7.405885e+06,41615.707
80,96.25878,1.9891726,2.9891725,1494.5862,7.445959e+06,41953.94
81,96.56148,1.9985723,2.9985723,1499.2861,7.4928625e+06,42350.98
82,96.93088,2.0100434,3.0100434,1505.0217,7.5503005e+06,42838.887
83,97.28491,2.0210376,3.0210376,1510.5188,7.6055565e+06,43310.01
84,97.5724,2.0299652,3.0299652,1514.9825,7.6505735e+06,43695.1
