frame,point_id,x,y,u,v,displacement
0,0,199.0,154.0,0.0,0.0,0.0
0,1,228.0,140.0,0.0,0.0,0.0
0,2,238.0,168.0,0.0,0.0,0.0
0,3,258.0,144.0,0.0,0.0,0.0
1,0,200.47675,156.1952,1.4767456,2.1952057,2.6456957
1,1,229.62042,141.74246,1.6204224,1.7424622,2.3794837
1,2,240.45854,169.7961,2.4585419,1.7960968,3.0447319
1,3,259.32486,144.94122,1.3248596,0.94122314,1.6251627
2,0,200.1802,158.26949,1.1802063,4.2694855,4.429604
2,1,229.70842,143.88898,1.7084198,3.888977,4.2476864
2,2,240.2794,172.84503,2.2794037,4.8450317,5.354439
2,3,259.81277,146.79736,1.8127747,2.7973633,3.3333757
3,0,200.38264,158.36772,1.3826447,4.3677216,4.5813427
3,1,230.24646,144.0882,2.24646,4.088196,4.6647534
3,2,240.55234,173.20451,2.5523376,5.2045135,5.7966704
3,3,260.53424,147.01936,2.5342407,3.0193634,3.941945
4,0,202.51927,158.95226,3.5192719,4.9522552,6.075369
4,1,232.60051,143.88986,4.6005096,3.889862,6.0245924
4,2,243.77505,173.02995,5.775055,5.029953,7.658439
4,3,262.56662,146.67978,4.56662,2.679779,5.294831
5,0,202.0096,160.15276,3.0095978,6.1527557,6.8493853
5,1,232.77385,145.07437,4.7738495,5.0743713,6.966985
5,2,243.73837,174.86877,5.738373,6.8687744,8.950362
5,3,263.11224,147.45938,5.1122437,3.459381,6.1727104
6,0,201.56126,160.36826,2.561264,6.3682556,6.864019
6,1,232.8143,145.41203,4.8143005,5.412033,7.2434516
6,2,243.62659,175.95558,5.626587,7.9555817,9.744217
6,3,263.97406,147.53783,5.97406,3.5378265,6.943026
7,0,202.7646,159.8673,3.7646027,5.8672943,6.971182
7,1,234.35985,144.08882,6.359848,4.0888214,7.560828
7,2,245.91606,174.65482,7.9160614,6.6548157,10.341692
7,3,265.78156,146.06857,7.781555,2.068573,8.051807
8,0,202.29817,159.43823,3.298172,5.4382324,6.360213
8,1,234.59712,143.41014,6.597122,3.410141,7.426378
8,2,245.90752,174.55757,7.9075165,6.5575714,10.272807
8,3,266.28906,145.94128,8.2890625,1.9412842,8.5133505
9,0,201.5761,160.24031,2.5760956,6.2403107,6.751129
9,1,234.63376,144.15852,6.6337585,4.1585236,7.8294363
9,2,245.91121,176.32161,7.911209,8.3216095,11.482004
9,3,266.8726,146.27942,8.872589,2.279419,9.160708
10,0,202.83098,160.77736,3.8309784,6.777359,7.7851777
10,1,236.29137,144.12254,8.291367,4.1225433,9.259704
10,2,248.2815,176.88748,10.281494,8.887482,13.590307
10,3,269.09927,145.77525,11.099274,1.7752533,11.240347
11,0,203.43282,161.32213,4.4328156,7.3221283,8.559405
11,1,237.61638,143.83801,9.616379,3.8380127,10.353989
11,2,250.24443,177.36308,12.244431,9.363083,15.414065
11,3,270.79785,145.4411,12.797852,1.4411011,12.878734
12,0,202.48308,162.33131,3.483078,8.331314,9.030096
12,1,237.6872,144.42017,9.687195,4.420166,10.647986
12,2,250.3196,179.30675,12.319595,11.306747,16.721691
12,3,271.50803,145.64558,13.508026,1.6455841,13.607892
13,0,201.48244,163.33905,2.4824371,9.33905,9.663351
13,1,237.63184,145.0736,9.631836,5.073593,10.886395
13,2,250.32935,181.31868,12.329346,13.31868,18.149382
13,3,272.34653,145.82588,14.346527,1.825882,14.462251
14,0,200.58781,164.40785,1.5878143,10.407852,10.528274
14,1,237.66762,145.23262,9.667618,5.2326202,10.992868
14,2,250.96295,182.58339,12.962952,14.583389,19.511877
14,3,273.5157,145.81404,15.515686,1.8140411,15.621371
15,0,199.3071,165.23715,0.3070984,11.237152,11.241347
15,1,237.38316,145.4792,9.383163,5.4792023,10.865791
15,2,250.73366,184.25653,12.733658,16.25653,20.64996
15,3,273.96655,145.82253,15.966553,1.822525,16.070234
16,0,197.49413,166.08371,-1.5058746,12.08371,12.177179
16,1,236.63397,146.06038,8.633972,6.060379,10.548634
16,2,249.68076,186.22339,11.680756,18.223389,21.645597
16,3,274.01447,146.12993,16.014465,2.1299286,16.155485
17,0,196.13654,167.12505,-2.8634644,13.125046,13.433773
17,1,236.21169,146.41093,8.211685,6.4109344,10.417862
17,2,249.58331,187.87508,11.583313,19.875076,23.00417
17,3,274.57587,146.25038,16.575867,2.2503815,16.727928
18,0,195.72258,168.19154,-3.27742,14.191544,14.565074
18,1,236.58073,146.53479,8.580734,6.53479,10.785753
18,2,250.60005,189.03596,12.600052,21.035965,24.520872
18,3,275.82413,146.07361,17.824127,2.0736084,17.944342
19,0,194.66798,169.568,-4.332016,15.567993,16.15948
19,1,236.43173,147.29074,8.431732,7.290741,11.146704
19,2,250.67891,191.01514,12.678909,23.015137,26.27644
19,3,276.4714,146.35944,18.471405,2.359436,18.621487
20,0,192.42833,170.74373,-6.5716705,16.743729,17.987198
20,1,235.03986,148.18533,7.039856,8.185333,10.796261
20,2,248.977,193.49152,10.977005,25.491516,27.754496
20,3,275.93726,146.77782,17.937256,2.7778168,18.151072
21,0,190.67366,171.71613,-8.32634,17.716125,19.575216
21,1,234.20123,148.4413,6.201233,8.441299,10.474294
21,2,248.26295,194.84242,10.262955,26.842422,28.7375
21,3,276.1698,147.12598,18.1698,3.1259766,18.436739
22,0,189.46706,173.64465,-9.532944,19.644653,21.835508
